Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-04-20T15:34:56.794Z,"""","""",""Free"",""auto"",""No"",""0"",""319"",""19456"",""199"",""19974"",""Free"""
"2026-04-20T15:34:37.835Z,"""","""",""Free"",""auto"",""No"",""0"",""2685"",""16768"",""131"",""19584"",""Free"""
"2026-04-20T15:33:16.369Z,"""","""",""Free"",""auto"",""No"",""0"",""13808"",""58368"",""663"",""72839"",""Free"""
"2026-04-20T14:51:14.689Z,"""","""",""Free"",""auto"",""No"",""0"",""1964"",""308352"",""602"",""310918"",""Free"""
"2026-04-20T14:49:59.299Z,"""","""",""Free"",""auto"",""No"",""0"",""1288"",""307200"",""628"",""309116"",""Free"""
"2026-04-20T14:47:26.167Z,"""","""",""Free"",""auto"",""No"",""0"",""2110"",""151296"",""282"",""153688"",""Free"""
"2026-04-20T14:45:49.606Z,"""","""",""Free"",""auto"",""No"",""0"",""1585"",""454912"",""835"",""457332"",""Free"""
"2026-04-20T14:45:04.582Z,"""","""",""Free"",""auto"",""No"",""0"",""1684"",""149504"",""232"",""151420"",""Free"""
"2026-04-20T14:43:16.070Z,"""","""",""Free"",""auto"",""No"",""0"",""143293"",""307584"",""526"",""451403"",""Free"""
"2026-04-20T14:42:18.611Z,"""","""",""Free"",""auto"",""No"",""0"",""3397"",""145408"",""287"",""149092"",""Free"""
"2026-04-20T14:40:09.990Z,"""","""",""Free"",""auto"",""No"",""0"",""4144"",""585856"",""1209"",""591209"",""Free"""
"2026-04-20T14:37:37.712Z,"""","""",""Free"",""auto"",""No"",""0"",""963"",""143744"",""143"",""144850"",""Free"""
"2026-04-20T14:36:46.762Z,"""","""",""Free"",""auto"",""No"",""0"",""1470"",""142080"",""420"",""143970"",""Free"""
"2026-04-20T14:29:49.380Z,"""","""",""Free"",""auto"",""No"",""0"",""1649"",""140544"",""453"",""142646"",""Free"""
"2026-04-20T14:27:37.707Z,"""","""",""Free"",""auto"",""No"",""0"",""579"",""281984"",""1358"",""283921"",""Free"""
"2026-04-20T14:25:22.540Z,"""","""",""Free"",""auto"",""No"",""0"",""284"",""140032"",""112"",""140428"",""Free"""
"2026-04-20T14:24:46.138Z,"""","""",""Free"",""auto"",""No"",""0"",""284"",""139264"",""637"",""140185"",""Free"""
"2026-04-20T14:23:11.609Z,"""","""",""Free"",""auto"",""No"",""0"",""553"",""277376"",""605"",""278534"",""Free"""
"2026-04-20T14:22:09.394Z,"""","""",""Free"",""auto"",""No"",""0"",""299"",""138112"",""121"",""138532"",""Free"""
"2026-04-20T14:20:59.389Z,"""","""",""Free"",""auto"",""No"",""0"",""1388"",""274432"",""398"",""276218"",""Free"""
"2026-04-20T14:18:32.106Z,"""","""",""Free"",""auto"",""No"",""0"",""510"",""273664"",""732"",""274906"",""Free"""
"2026-04-20T14:16:49.577Z,"""","""",""Free"",""auto"",""No"",""0"",""343"",""136064"",""192"",""136599"",""Free"""
"2026-04-20T14:16:00.729Z,"""","""",""Free"",""auto"",""No"",""0"",""681"",""270592"",""776"",""272049"",""Free"""
"2026-04-20T14:15:20.543Z,"""","""",""Free"",""auto"",""No"",""0"",""127224"",""7680"",""147"",""135051"",""Free"""
"2026-04-20T14:06:42.934Z,"""","""",""Free"",""auto"",""No"",""0"",""2681"",""401536"",""1292"",""405509"",""Free"""
"2026-04-20T14:04:55.981Z,"""","""",""Free"",""auto"",""No"",""0"",""6240"",""259456"",""1603"",""267299"",""Free"""
"2026-04-20T14:03:11.424Z,"""","""",""Free"",""auto"",""No"",""0"",""3973"",""515584"",""3232"",""522789"",""Free"""
"2026-04-20T14:02:05.159Z,"""","""",""Free"",""auto"",""No"",""0"",""1087"",""126208"",""427"",""127722"",""Free"""
"2026-04-20T14:01:12.754Z,"""","""",""Free"",""auto"",""No"",""0"",""1118"",""252160"",""592"",""253870"",""Free"""
"2026-04-20T14:00:11.442Z,"""","""",""Free"",""auto"",""No"",""0"",""118074"",""7680"",""438"",""126192"",""Free"""
"2026-04-20T13:28:39.625Z,"""","""",""Free"",""auto"",""No"",""0"",""1198"",""124160"",""220"",""125578"",""Free"""
"2026-04-20T13:25:56.786Z,"""","""",""Free"",""auto"",""No"",""0"",""1345"",""248064"",""1067"",""250476"",""Free"""
"2026-04-20T13:23:41.943Z,"""","""",""Free"",""auto"",""No"",""0"",""1483"",""246144"",""753"",""248380"",""Free"""
"2026-04-20T13:19:53.532Z,"""","""",""Free"",""auto"",""No"",""0"",""515"",""122368"",""409"",""123292"",""Free"""
"2026-04-20T13:18:03.351Z,"""","""",""Free"",""auto"",""No"",""0"",""3413"",""119040"",""279"",""122732"",""Free"""
"2026-04-20T13:11:16.416Z,"""","""",""Free"",""auto"",""No"",""0"",""3094"",""603008"",""1334"",""607436"",""Free"""
"2026-04-20T13:09:12.481Z,"""","""",""Free"",""auto"",""No"",""0"",""1585"",""117376"",""38"",""118999"",""Free"""
"2026-04-20T13:08:21.152Z,"""","""",""Free"",""auto"",""No"",""0"",""110821"",""125440"",""644"",""236905"",""Free"""
"2026-04-20T12:55:10.084Z,"""","""",""Free"",""auto"",""No"",""0"",""0"",""0"",""0"",""0"",""Free"""
